Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Cooling CFM,Cooling Tons,Heating CFM,Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Total Cooling Load,Instant Sensible Heating,Delay Sensible Heating,Latent Heating,Total Heating Load
Room 03-03,200,1447.5,2.00,21,21,106,0.21,106,1229,1010,244,2484,-724,-273,0,-1005,
Room 03-04,194,1404.5,2.00,21,21,105,0.20,105,1214,996,244,2454,-718,-260,0,-985,
Room 03-05,198,1433.1,2.00,21,21,106,0.21,106,1224,1007,244,2475,-722,-268,0,-997,
Room 03-06,196,1418.9,2.00,21,21,106,0.21,106,1219,1002,244,2465,-720,-264,0,-991,
Room 03-07,198,1433.1,2.00,21,21,106,0.21,106,1224,1007,244,2476,-722,-268,0,-997,
Room 03-08,192,1390.0,2.00,20,20,105,0.20,105,1209,992,244,2444,-716,-256,0,-979,
Room 03-09,201,1462.0,2.00,21,21,107,0.21,107,1234,1015,244,2494,-726,-277,0,-1011,
Room 03-10,200,1453.2,2.00,21,21,107,0.21,107,1231,1014,244,2489,-724,-309,0,-1041,
Room 03-11,145,1028.7,1.20,0,0,81,0.17,81,1114,590,299,2002,-571,-510,0,-1081,
Room 03-12,290,2129.1,2.00,26,26,140,0.27,140,1576,1362,259,3196,-1382,-838,0,-2231,
Room 03-13,537,4010.7,0.47,0,0,134,0.25,134,1630,1202,184,3016,-1989,-176,0,-2176,
Room 03-14,196,1418.6,0.16,0,0,49,0.09,49,577,459,65,1101,-704,-86,0,-794,
Room 03-15,130,920.7,1.07,0,0,38,0.09,38,421,372,267,1060,0,-53,0,-53,
Room 03-16,159,1136.4,1.32,0,0,86,0.18,86,1259,552,330,2141,-1143,-725,0,-1869,
Room 03-17,203,1476.2,4.30,65,65,121,0.23,121,1507,1050,198,2755,-395,-72,0,-474,
Room 03-18,208,1516.1,2.00,21,21,115,0.22,115,1344,1069,223,2636,-705,-712,0,-1425,
Room 03-19,193,1400.6,2.00,21,21,113,0.22,113,1304,1072,225,2601,-695,-289,0,-991,
Room 03-20,197,1428.8,2.00,21,21,114,0.22,114,1314,1084,225,2623,-700,-274,0,-981,
Room 03-21,192,1386.1,2.00,20,20,113,0.22,113,1299,1070,225,2594,-694,-261,0,-962,
Room 03-22,195,1414.7,2.00,21,21,113,0.22,113,1309,1079,225,2613,-698,-269,0,-974,
Room 01-28,148,1055.9,0.12,0,0,40,0.07,40,424,421,49,893,-523,-53,0,-579,
Room 03-23,193,1400.6,2.00,21,21,113,0.22,113,1304,1074,225,2603,-696,-265,0,-967,
Room 03-24,195,1414.7,2.00,21,21,113,0.22,113,1309,1080,225,2613,-698,-269,0,-974,
Room 03-25,190,1372.0,2.00,20,20,112,0.22,112,1294,1066,225,2585,-691,-259,0,-957,
Room 03-26,199,1443.3,2.00,21,21,114,0.22,114,1319,1083,224,2627,-701,-302,0,-1011,
Room 03-27,198,1434.5,2.00,21,21,111,0.22,111,1327,1001,258,2586,-693,-692,0,-1393,
Room 03-28,148,1055.9,0.12,0,0,39,0.07,39,429,397,49,875,-524,-45,0,-572,
Room 04-00,1602,11290.1,1.41,85,85,422,0.75,422,4467,4416,91,8974,-1457,-1039,0,-2518,
Room 04-01,209,1520.6,2.00,21,21,108,0.21,108,1265,1018,248,2531,-729,-713,0,-1450,
Room 04-02,196,1418.9,2.00,21,21,105,0.20,105,1217,999,244,2460,-722,-289,0,-1018,
Room 04-03,200,1447.5,2.00,21,21,106,0.21,106,1227,1011,244,2482,-727,-274,0,-1007,
Room 04-04,194,1404.5,2.00,21,21,105,0.20,105,1212,996,244,2452,-720,-261,0,-988,
Room 04-05,198,1433.1,2.00,21,21,106,0.21,106,1222,1006,244,2472,-724,-268,0,-1000,
Room 04-06,196,1418.9,2.00,21,21,105,0.21,105,1217,1001,244,2462,-722,-264,0,-994,
Room 04-07,198,1433.1,2.00,21,21,106,0.21,106,1222,1007,244,2472,-724,-268,0,-1000,
Room 04-08,192,1390.0,2.00,20,20,104,0.20,104,1207,992,244,2442,-718,-257,0,-982,
Room 04-09,201,1462.0,2.00,21,21,107,0.21,107,1232,1015,244,2491,-729,-278,0,-1014,
Room 04-10,200,1453.2,2.00,21,21,107,0.21,107,1229,1014,244,2487,-727,-309,0,-1043,
Room 04-11,145,1028.7,1.20,0,0,81,0.17,81,1111,592,299,2002,-573,-510,0,-1083,
