Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Coling Tons, Cooling CFM,Total Cooling Load (Btu/h),Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Heating CFM,Total Heating Load (Btu/h),Instant Sensible Heating,Delay Sensible Heating,Latent Heating
Room 02-17,203.0,1476.2,4.3,65.0,65.0,0.23,121.0,2755.0,1507.0,1050.0,198.0,121.0,-475.0,-395.0,-73.0,0.0
Room 02-18,208.0,1516.1,2.0,21.0,21.0,0.22,115.0,2651.0,1347.0,1080.0,223.0,115.0,-1419.0,-702.0,-709.0,0.0
Room 02-19,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2613.0,1307.0,1081.0,225.0,113.0,-988.0,-693.0,-288.0,0.0
Room 02-20,197.0,1428.8,2.0,21.0,21.0,0.22,114.0,2633.0,1316.0,1092.0,225.0,114.0,-978.0,-697.0,-273.0,0.0
Room 02-21,192.0,1386.1,2.0,20.0,20.0,0.22,113.0,2594.0,1302.0,1067.0,225.0,113.0,-959.0,-691.0,-261.0,0.0
Room 02-22,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2612.0,1312.0,1075.0,225.0,113.0,-972.0,-695.0,-270.0,0.0
Room 02-23,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2604.0,1307.0,1072.0,225.0,113.0,-963.0,-693.0,-263.0,0.0
Room 02-24,195.0,1414.7,2.0,21.0,21.0,0.22,114.0,2615.0,1312.0,1078.0,225.0,114.0,-969.0,-695.0,-266.0,0.0
Room 02-25,190.0,1372.0,2.0,20.0,20.0,0.22,112.0,2589.0,1297.0,1067.0,225.0,112.0,-953.0,-689.0,-257.0,0.0
Room 02-26,199.0,1443.3,2.0,21.0,21.0,0.22,114.0,2633.0,1321.0,1087.0,225.0,114.0,-1007.0,-699.0,-301.0,0.0
Room 02-27,198.0,1434.5,2.0,21.0,21.0,0.22,111.0,2585.0,1330.0,997.0,258.0,111.0,-1388.0,-690.0,-690.0,0.0
Room 02-28,148.0,1055.9,0.12,0,0,0.07,39.0,877.0,429.0,398.0,49.0,39.0,-572.0,-523.0,-46.0,0.0
Room 03-00,1602.0,11290.1,1.41,85.0,85.0,0.75,422.0,8982.0,4474.0,4417.0,91.0,422.0,-2507.0,-1450.0,-1035.0,0.0
Room 03-01,209.0,1520.6,2.0,21.0,21.0,0.21,109.0,2533.0,1267.0,1018.0,248.0,109.0,-1447.0,-727.0,-712.0,0.0
Room 03-02,196.0,1418.9,2.0,21.0,21.0,0.21,105.0,2462.0,1219.0,999.0,244.0,105.0,-1016.0,-720.0,-289.0,0.0
Room 03-03,200.0,1447.5,2.0,21.0,21.0,0.21,106.0,2484.0,1229.0,1010.0,244.0,106.0,-1005.0,-724.0,-273.0,0.0
Room 03-04,194.0,1404.5,2.0,21.0,21.0,0.2,105.0,2454.0,1214.0,996.0,244.0,105.0,-985.0,-718.0,-260.0,0.0
Room 03-05,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2475.0,1224.0,1007.0,244.0,106.0,-997.0,-722.0,-268.0,0.0
Room 03-06,196.0,1418.9,2.0,21.0,21.0,0.21,106.0,2465.0,1219.0,1002.0,244.0,106.0,-991.0,-720.0,-264.0,0.0
Room 03-07,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2476.0,1224.0,1007.0,244.0,106.0,-997.0,-722.0,-268.0,0.0
Room 03-08,192.0,1390.0,2.0,20.0,20.0,0.2,105.0,2444.0,1209.0,992.0,244.0,105.0,-979.0,-716.0,-256.0,0.0
Room 03-09,201.0,1462.0,2.0,21.0,21.0,0.21,107.0,2494.0,1234.0,1015.0,244.0,107.0,-1011.0,-726.0,-277.0,0.0
Room 03-10,200.0,1453.2,2.0,21.0,21.0,0.21,107.0,2489.0,1231.0,1014.0,244.0,107.0,-1041.0,-724.0,-309.0,0.0
Room 03-11,145.0,1028.7,1.2,0,0,0.17,81.0,2002.0,1114.0,590.0,299.0,81.0,-1081.0,-571.0,-510.0,0.0
Room 03-12,290.0,2129.1,2.0,26.0,26.0,0.27,140.0,3196.0,1576.0,1362.0,259.0,140.0,-2231.0,-1382.0,-838.0,0.0
Room 03-13,537.0,4010.7,0.47,0,0,0.25,134.0,3016.0,1630.0,1202.0,184.0,134.0,-2176.0,-1989.0,-176.0,0.0
Room 03-14,196.0,1418.6,0.16,0,0,0.09,49.0,1101.0,577.0,459.0,65.0,49.0,-794.0,-704.0,-86.0,0.0
Room 03-15,130.0,920.7,1.07,0,0,0.09,38.0,1060.0,421.0,372.0,267.0,38.0,-53.0,0.0,-53.0,0.0
Room 03-16,159.0,1136.4,1.32,0,0,0.18,86.0,2141.0,1259.0,552.0,330.0,86.0,-1869.0,-1143.0,-725.0,0.0
Room 03-17,203.0,1476.2,4.3,65.0,65.0,0.23,121.0,2755.0,1507.0,1050.0,198.0,121.0,-474.0,-395.0,-72.0,0.0
Room 03-18,208.0,1516.1,2.0,21.0,21.0,0.22,115.0,2636.0,1344.0,1069.0,223.0,115.0,-1425.0,-705.0,-712.0,0.0
Room 03-19,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2601.0,1304.0,1072.0,225.0,113.0,-991.0,-695.0,-289.0,0.0
Room 03-20,197.0,1428.8,2.0,21.0,21.0,0.22,114.0,2623.0,1314.0,1084.0,225.0,114.0,-981.0,-700.0,-274.0,0.0
Room 03-21,192.0,1386.1,2.0,20.0,20.0,0.22,113.0,2594.0,1299.0,1070.0,225.0,113.0,-962.0,-694.0,-261.0,0.0
Room 03-22,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2613.0,1309.0,1079.0,225.0,113.0,-974.0,-698.0,-269.0,0.0
Room 01-28,148.0,1055.9,0.12,0,0,0.07,40.0,893.0,424.0,421.0,49.0,40.0,-579.0,-523.0,-53.0,0.0
Room 03-23,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2603.0,1304.0,1074.0,225.0,113.0,-967.0,-696.0,-265.0,0.0
Room 03-24,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2613.0,1309.0,1080.0,225.0,113.0,-974.0,-698.0,-269.0,0.0
Room 03-25,190.0,1372.0,2.0,20.0,20.0,0.22,112.0,2585.0,1294.0,1066.0,225.0,112.0,-957.0,-691.0,-259.0,0.0
Room 03-26,199.0,1443.3,2.0,21.0,21.0,0.22,114.0,2627.0,1319.0,1083.0,224.0,114.0,-1011.0,-701.0,-302.0,0.0
Room 03-27,198.0,1434.5,2.0,21.0,21.0,0.22,111.0,2586.0,1327.0,1001.0,258.0,111.0,-1393.0,-693.0,-692.0,0.0
Room 03-28,148.0,1055.9,0.12,0,0,0.07,39.0,875.0,429.0,397.0,49.0,39.0,-572.0,-524.0,-45.0,0.0
Room 04-00,1602.0,11290.1,1.41,85.0,85.0,0.75,422.0,8974.0,4467.0,4416.0,91.0,422.0,-2518.0,-1457.0,-1039.0,0.0
Room 04-01,209.0,1520.6,2.0,21.0,21.0,0.21,108.0,2531.0,1265.0,1018.0,248.0,108.0,-1450.0,-729.0,-713.0,0.0
Room 04-02,196.0,1418.9,2.0,21.0,21.0,0.2,105.0,2460.0,1217.0,999.0,244.0,105.0,-1018.0,-722.0,-289.0,0.0
Room 04-03,200.0,1447.5,2.0,21.0,21.0,0.21,106.0,2482.0,1227.0,1011.0,244.0,106.0,-1007.0,-727.0,-274.0,0.0
Room 04-04,194.0,1404.5,2.0,21.0,21.0,0.2,105.0,2452.0,1212.0,996.0,244.0,105.0,-988.0,-720.0,-261.0,0.0
Room 04-05,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2472.0,1222.0,1006.0,244.0,106.0,-1000.0,-724.0,-268.0,0.0
Room 04-06,196.0,1418.9,2.0,21.0,21.0,0.21,105.0,2462.0,1217.0,1001.0,244.0,105.0,-994.0,-722.0,-264.0,0.0
Room 04-07,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2472.0,1222.0,1007.0,244.0,106.0,-1000.0,-724.0,-268.0,0.0
Room 04-08,192.0,1390.0,2.0,20.0,20.0,0.2,104.0,2442.0,1207.0,992.0,244.0,104.0,-982.0,-718.0,-257.0,0.0
Room 04-09,201.0,1462.0,2.0,21.0,21.0,0.21,107.0,2491.0,1232.0,1015.0,244.0,107.0,-1014.0,-729.0,-278.0,0.0
Room 04-10,200.0,1453.2,2.0,21.0,21.0,0.21,107.0,2487.0,1229.0,1014.0,244.0,107.0,-1043.0,-727.0,-309.0,0.0
Room 04-11,145.0,1028.7,1.2,0,0,0.17,81.0,2002.0,1111.0,592.0,299.0,81.0,-1083.0,-573.0,-510.0,0.0
